"x"
"AF047979"
"AF047980"
"AF047981"
"AF047982"
"AF047983"
"AF047984"
"AF047985"
"AF047986"
"AF047987"
"AF047988"
"AF047989"
"AF047990"
"AF047991"
"AF047992"
"AF047993"
"AF047994"
"AF047995"
"AF047996"
"AF047997"
"AF047998"
"AF047999"
"AF048000"
"AF048001"
"AF048002"
"AF048003"
"AF048004"
"AF048005"
"AF048006"
"AF048007"
"AF048008"
"AF048009"
"AF048010"
"AF048011"
"AF048012"
"AF048013"
"AF048014"
"AF048015"
"AF048016"
"AF048017"
"AF048018"
"AF048019"
"AF048020"
"AF048021"
"AF048022"
"AF048023"
"AF048024"
"AF048025"
"AF048026"
"AF048027"
"AF048028"
"AF048029"
"AF048030"
"AF048031"
"AF048032"
"AF048033"
"AF048034"
"AF048035"
"AF048036"
"AF048037"
"AF048038"
"AF048039"
"AF048040"
"AF048041"
"AF048042"
"AF048043"
"AF048044"
"AF048045"
"AF048046"
"AF048047"
"AF048048"
"AF048049"
"AF048050"
"AF048051"
"AF048052"
"AF048053"
"AF048054"
"AF048055"
"AF048056"
"AF048057"
"AF048058"
"AF048059"
"AF048060"
"AF048061"
"AF048062"
"AF048063"
"AF048064"
"AF048065"
"AF048066"
"AF048067"
"AF048068"
"AF048069"
"AF048070"
"AF048071"
"AF048072"
"AF048073"
"AF048074"
"AF048075"
"AF048076"
"AF048077"
"AF048078"
"AF048079"
"AF048080"
"AF048081"
"AF048082"
"AF048083"
"AF048084"
"AF048085"
"AF048086"
"AF048087"
"AF048088"
"AF048089"
"AF048090"
"AF048091"
"AF048092"
"AF048093"
"AF048094"
"AF048095"
"AF048096"
"AF048097"
"AF048098"
"AF048099"
"AF048100"
"AF048101"
"AF048102"
"AF048103"
"AF048104"
"AF048105"
"AF048106"
"AF048107"
"AF048108"
"AF048109"
"AF048110"
"AF048111"
"AF048112"
"AF048113"
"AF048114"
"AF048115"
"AF048116"
"AF048117"
"AF048118"
"AF048119"
"AF048120"
"AF048121"
"AF048122"
"AF048123"
"AF048124"
"AF048125"
"AF048126"
"AF048127"
"AF048128"
"AF048129"
"AF048130"
"AF048131"
"AF048132"
"AF048133"
"AF048134"
"AF048135"
"AF048136"
"AF048137"
"AF048138"
"AF048139"
"AF048140"
"AF048141"
"AF048142"
"AF048143"
"AF048144"
"AF048145"
"AF048146"
"AF048147"
"AF048148"
"AF048149"
"AF048150"
"AF048151"
"AF048152"
"AF048153"
"AF048154"
"AF048155"
"AF048156"
"AF048157"
"AF048158"
"AF048159"
"AF048160"
"AF048161"
"AF048162"
"AF048163"
"AF048164"
"AF048165"
"AF048166"
"AF048167"
"AF048168"
"AF048169"
"AF048170"
"AF048171"
"AF048172"
"AF048173"
"AF048174"
"AF048175"
"AF048176"
"AF048177"
"AF048178"
"AF048179"
"AF048180"
"AF048181"
"AF048182"
"AF048183"
"AF048184"
"AF048185"
"AF048186"
"AF048187"
"AF048188"
"AF048189"
"AF048190"
"AF048191"
"AF048192"
"AF048193"
"AF048194"
"AF048195"
"AF048196"
"AF048197"
"AF048198"
"AF048199"
"AF048200"
"AF048201"
"AF048202"
"AF048203"
"AF048204"
"AF048205"
"AF048206"
"AF048207"
"AF048208"
"AF048209"
"AF048210"
"AF048211"
"AF048212"
"AF048213"
"AF048214"
"AF048215"
"AF048216"
"AF048217"
"AF048218"
"AF048219"
"AF048220"
"AF048221"
"AF048222"
"AF048223"
"AF048224"
"AF048225"
"AF048226"
"AF048227"
"AF048228"
"AF048229"
"AF048230"
"AF048231"
"AF048232"
"AF048233"
"AF048234"
"AF048235"
"AF048236"
"AF048237"
"AF048238"
"AF048239"
"AF048240"
"AF048241"
"AF048242"
"AF048243"
"AF048244"
"AF048245"
"AF048246"
"AF048247"
"AF048248"
"AF048249"
"AF048250"
"AF048251"
"AF048252"
"AF048253"
"AF048254"
"AF048255"
"AF048256"
"AF048257"
"AF048258"
"AF048259"
"AF048260"
"AF048261"
"AF048262"
"AF048263"
"AF048264"
"AF048265"
"AF048266"
"AF048267"
"AF048268"
"AF048269"
"AF048270"
"AF048271"
"AF048272"
"AF048273"
"AF048274"
"AF048275"
"AF048276"
"AF048277"
"AF048278"
"AF048279"
"AF048280"
"AF048281"
"AF048282"
"AF048283"
"AF048284"
"AF048285"
"AF048286"
"AF048287"
"AF048288"
"AF048289"
"AF048290"
"AF048291"
"AF048292"
"AF048293"
"AF048294"
"AF048295"
"AF048296"
"AF048297"
"AF048298"
"AF048299"
"AF048300"
"AF048301"
"AF048302"
"AF048303"
"AF048304"
"AF048305"
"AF048306"
"AF048307"
"AF048308"
"AF048309"
"AF048310"
"AF048311"
"AF048312"
"AF048313"
"AF048314"
"AF048315"
"AF048316"
"AF048317"
"AF048318"
"AF048319"
"AF048320"
"AF048321"
"AF048322"
"AF048323"
"AF048324"
"AF048325"
"AF048326"
"AF048327"
"AF048328"
"AF048329"
"AF048330"
"AF048331"
"AF048332"
"AF048333"
"AF048334"
"AF048335"
"AF048336"
"AF048337"
"AF048338"
"AF048339"
"AF048340"
"AF048341"
"AF048342"
"AF048343"
"AF048344"
"AF048345"
"AF048346"
"AF048347"
"AF048348"
"AF048349"
"AF048350"
"AF048351"
"AF048352"
"AF048353"
"AF048354"
"AF048355"
"AF048356"
"AF048357"
"AF048358"
"AF048359"
"AF048360"
"AF048361"
"AF048362"
"AF048363"
"AF048364"
"AF048365"
"AF048366"
"AF048367"
"AF048368"
"AF048369"
"AF048370"
"AF048371"
"AF048372"
"AF048373"
"AF048374"
"AF048375"
"AF048376"
"AF048377"
"AF048378"
"AF048379"
"AF048380"
"AF048381"
"AF048382"
"AF048383"
"AF048384"
"AF048385"
"AF048386"
"AF048387"
"AF048388"
"AF048389"
"AF048390"
"AF048391"
"AF048392"
"AF048393"
"AF048394"
"AF048395"
"AF048396"
"AF048397"
"AF048398"
"AF048399"
"AF048400"
"AF048401"
"AF048402"
"AF048403"
